ENUM GemdosOpcode		GemDOS Opcode number
	Pterm0			0x00
	Cconin			0x01
	Cconout			0x02
	Cauxin			0x03
	Cauxout			0x04
	Cprnout			0x05
	Crawio			0x06
	Crawcin			0x07
	Cnecin			0x08
	Cconws			0x09
	Cconrs			0x0A
	Cconis			0x0B
	Dsetdrv			0x0E
	Cconos			0x10
	Cprnos			0x11
	Cauxis			0x12
	Cauxos			0x13
	Maddalt			0x14
	Srealloc		0x15 (TOS 4)
	Slbopen			0x16 (MagiC)
	Slbclose		0x17 (MagiC)
	Dgetdrv			0x19
	Fsetdta			0x1A
	Super			0x20
	Tgetdate		0x2A
	Tsetdate		0x2B
	Tgettime		0x2C
	Tsettime		0x2D
	Fgetdta			0x2F
	Sversion		0x30
	Ptermres		0x31
	Sconfig			0x33 (MagiC)
	Dfree			0x36
	Dcreate			0x39
	Ddelete			0x3A
	Dsetpath		0x3B
	Fcreate			0x3C
	Fopen			0x3D
	Fclose			0x3E
	Fread			0x3F
	Fwrite			0x40
	Fdelete			0x41
	Fseek			0x42
	Fattrib			0x43
	Mxalloc			0x44
	Fdup			0x45
	Fforce			0x46
	Dgetpath		0x47
	Malloc			0x48
	Mfree			0x49
	Mshrink			0x4A
	Pexec			0x4B
	Pterm			0x4C
	Fsfirst			0x4E
	Fsnext			0x4F
	Frename			0x56
	Fdatime			0x57
	Flock			0x5C
	Nversion		0x60
	Frlock			0x62
	Frunlock		0x63
	F_lock			0x64
	Funlock			0x65
	Fflush			0x66
	Syield			0xFF (MiNT)
	Fpipe			0x100 (MiNT)
	Ffchown			0x101 (MiNT)
	Ffchmod			0x102 (MiNT)
	Fsync			0x103 (MiNT)
	Fcntl			0x104 (MiNT)
	Finstat			0x105 (MiNT)
	Foutstat		0x106 (MiNT)
	Fgetchar		0x107 (MiNT)
	Fputchar		0x108 (MiNT)
	Pwait			0x109 (MiNT)
	Pnice			0x10A (MiNT)
	Pgetpid			0x10B (MiNT)
	Pgetppid		0x10C (MiNT)
	Pgetpgrp		0x10D (MiNT)
	Psetpgrp		0x10E (MiNT)
	Pgetuid			0x10F (MiNT)
	Psetuid			0x110 (MiNT)
	Pkill			0x111 (MiNT)
	Psignal			0x112 (MiNT)
	Pvfork			0x113 (MiNT)
	Pgetgid			0x114 (MiNT)
	Psetgid			0x115 (MiNT)
	Psigblock		0x116 (MiNT)
	Psigsetmask		0x117 (MiNT)
	Pusrval			0x118 (MiNT)
	Pdomain			0x119 (MiNT)
	Psigreturn		0x11A (MiNT)
	Pfork			0x11B (MiNT)
	Pwait3			0x11C (MiNT)
	Fselect			0x11D (MiNT)
	Prusage			0x11E (MiNT)
	Psetlimit		0x11F (MiNT)
	Talarm			0x120 (MiNT)
	Pause			0x121 (MiNT)
	Sysconf			0x122 (MiNT)
	Psigpending		0x123 MiNT
	Dpathconf		0x124 (MiNT)
	Pmsg			0x125 (MiNT)
	Fmidipipe		0x126 (MiNT)
	Prenice			0x127 (MiNT)
	Dopendir		0x128 (MiNT)
	Dreaddir		0x129 (MiNT)
